Year,State,Sport,Boys School,Girls School,Boys Participation,Girls Participation
2018/2019,AR,Dance/Drill,0,0,0,0
2018/2019,AR,"Dance Team, High Kick",0,0,0,0
2018/2019,AR,"Dance Team, Jazz",0,0,0,0
2018/2019,AR,Decathlon,33,4,85,17
2018/2019,AR,Drill Team,0,0,0,0
2018/2019,AR,Equestrian,0,0,0,0
2018/2019,AR,Fencing,0,0,0,0
2018/2019,AR,Field Hockey,0,0,0,0
2018/2019,AR,Figure Skating,0,0,0,0
2018/2019,AR,Flag Football,0,0,0,0
2018/2019,AR,Football -- 11-Player,201,7,10255,7
2018/2019,AR,Football -- 6-player,0,0,0,0
2018/2019,AR,Football -- 8-player,5,1,119,1
2018/2019,AR,Football -- 9-player,0,0,0,0
2018/2019,AR,Golf,214,177,1211,697
2018/2019,AR,Gymnastics,0,3,0,25
2018/2019,AR,Heptathlon,2,26,3,53
2018/2019,AR,Ice Hockey,0,0,0,0
2018/2019,AR,Judo,0,0,0,0
2018/2019,AR,Kayaking,0,0,0,0
2018/2019,AR,Lacrosse,5,4,100,50
2018/2019,AR,Martial Arts,0,0,0,0
2018/2019,AR,Mixed 6-Coed Volleyball,0,0,0,0
2018/2019,AR,Mt. Biking,0,0,0,0
2018/2019,AR,Native Youth Olympics,0,0,0,0
2018/2019,AR,Riflery,4,3,16,14
2018/2019,AR,Rock Climbing,0,0,0,0
2018/2019,AR,Rodeo,4,6,55,24
2018/2019,AR,Roller Hockey,0,0,0,0
2018/2019,AR,Rugby,0,0,0,0
2018/2019,AR,Rythmic Gymnastics,0,0,0,0
2018/2019,AR,Sailing,0,0,0,0
2018/2019,AR,Sand Volleyball,0,0,0,0
2018/2019,AR,Skiing -- Alpine,0,0,0,0
2018/2019,AR,Skiing -- Cross Country,0,0,0,0
2018/2019,AR,Snowboarding,0,0,0,0
2018/2019,AR,Soccer,107,103,3038,2461
2018/2019,AR,Softball -- Fast Pitch,0,249,0,4392
2018/2019,AR,Softball -- Slow Pitch,0,0,0,0
2018/2019,AR,Soft Tennis,0,0,0,0
2018/2019,AR,Squash,0,0,0,0
2018/2019,AR,Surfing,0,0,0,0
2018/2019,AR,Swimming & Diving,56,56,532,572
2018/2019,AR,Synchronized Swimming,0,0,0,0
2018/2019,AR,Team Tennis,0,0,0,0
2018/2019,AR,Tennis,121,120,946,1062
2018/2019,AR,Track and Field -- Indoor,63,57,1151,808
2018/2019,AR,Track and Field -- Outdoor,238,233,8363,3361
2018/2019,AR,Trap Shooting,93,77,1330,328
2018/2019,AR,Ultimate Frisbee,0,0,0,0
2018/2019,AR,Unified Flag Football,0,0,0,0
2018/2019,AR,Unified Track and Field -- Outdoor,2,3,34,54
2018/2019,AR,Volleyball,0,141,0,2923
2018/2019,AR,Water Polo,0,0,0,0
2018/2019,AR,Weight Lifting,30,0,538,0
2018/2019,AR,Wrestling,52,23,1137,54
2018/2019,CA,Adapted Basketball,0,0,0,0
2018/2019,CA,Adapted Bocce - Indoor,0,0,0,0
2018/2019,CA,Adapted Bowling,0,1,0,2
2018/2019,CA,Adapted Floor Hockey,0,0,0,0
2018/2019,CA,Adapted Football,0,0,0,0
2018/2019,CA,Adapted Soccer,4,3,70,40
2018/2019,CA,Adapted Softball,1,1,30,10
2018/2019,CA,Adapted Track,11,10,102,30
2018/2019,CA,Adapted Volleyball,0,0,0,0
2018/2019,CA,Adaptive Corn Toss,0,0,0,0
2018/2019,CA,Adaptive Golf,0,0,0,0
2018/2019,CA,Adaptive Handball,0,0,0,0
2018/2019,CA,Adaptive Strength Training,0,0,0,0
2018/2019,CA,Adaptive Tennis,0,0,0,0
2018/2019,CA,Air Riflery,0,0,0,0
2018/2019,CA,Archery,9,8,135,144
2018/2019,CA,Badminton,196,228,3830,5026
2018/2019,CA,Baseball,1294,79,44347,418
2018/2019,CA,Basketball,1515,1464,48111,35902
2018/2019,CA,Bass Fishing,0,0,0,0
2018/2019,CA,Beach Volleyball,0,0,0,0
2018/2019,CA,Bocce - Outdoor,0,0,0,0
2018/2019,CA,Bowling,2,2,17,8
2018/2019,CA,Canoe Paddling,0,0,0,0
2018/2019,CA,Competitive Spirit* (Boys who cheer/Girls who cheer),259,628,880,15705
2018/2019,CA,Crew,3,5,167,240
2018/2019,CA,Cross Country,1354,1336,31880,24208
2018/2019,CA,Cycling,0,0,0,0
2018/2019,CA,Dance,0,0,0,0
2018/2019,CA,Dance/Drill,0,0,0,0
2018/2019,CA,"Dance Team, High Kick",0,0,0,0
2018/2019,CA,"Dance Team, Jazz",0,0,0,0
2018/2019,CA,Decathlon,17,15,178,149
2018/2019,CA,Drill Team,0,0,0,0
2018/2019,CA,Equestrian,2,35,19,309
2018/2019,CA,Fencing,13,13,149,97
2018/2019,CA,Field Hockey,4,115,150,4058
2018/2019,CA,Figure Skating,0,0,0,0
2018/2019,CA,Flag Football,25,30,406,660
2018/2019,CA,Football -- 11-Player,1069,270,91305,593
2018/2019,CA,Football -- 6-player,7,1,1,16
2018/2019,CA,Football -- 8-player,105,9,2068,17
2018/2019,CA,Football -- 9-player,0,0,0,0
2018/2019,CA,Golf,1015,930,11023,8862
2018/2019,CA,Gymnastics,3,54,5,772
2018/2019,CA,Heptathlon,0,0,0,0
2018/2019,CA,Ice Hockey,29,3,495,29
2018/2019,CA,Judo,0,0,0,0
2018/2019,CA,Kayaking,0,0,0,0
2018/2019,CA,Lacrosse,273,279,10189,9840
2018/2019,CA,Martial Arts,2,2,42,42
